image_name,contains_tiny,contains_small,contains_regular,tiny_instances,small_instances,regular_instances,target_instances
0000006_00159_d_0000001.jpg,1,1,1,38,21,12,71
0000006_00611_d_0000002.jpg,1,1,1,38,16,11,65
0000006_01111_d_0000003.jpg,1,1,1,2,1,14,17
0000006_01275_d_0000004.jpg,1,1,1,2,8,14,24
0000006_01659_d_0000004.jpg,1,1,1,5,11,20,36
0000006_02138_d_0000006.jpg,0,1,1,0,12,17,29
0000006_02616_d_0000007.jpg,0,1,1,0,6,16,22
0000006_03636_d_0000009.jpg,1,0,1,2,0,10,12
0000006_04050_d_0000010.jpg,0,0,1,0,0,9,9
0000006_04309_d_0000011.jpg,1,1,1,13,3,12,28
0000006_05168_d_0000013.jpg,1,1,1,2,8,14,24
0000006_05208_d_0000014.jpg,0,1,1,0,1,11,12
0000006_05575_d_0000016.jpg,0,0,1,0,0,15,15
0000006_05999_d_0000017.jpg,1,1,1,7,25,28,60
0000006_06773_d_0000018.jpg,1,1,1,6,10,22,38
0000006_07596_d_0000020.jpg,1,1,1,5,2,4,11
0000011_00234_d_0000001.jpg,1,1,1,71,5,2,78
0000011_01350_d_0000003.jpg,1,1,0,20,8,0,28
0000011_01955_d_0000004.jpg,1,1,1,26,13,2,41
0000011_02800_d_0000005.jpg,1,1,1,26,7,2,35
0000011_04202_d_0000007.jpg,1,1,1,25,14,3,42
0000011_05068_d_0000008.jpg,1,1,0,21,7,0,28
0000011_06000_d_0000009.jpg,1,1,1,47,14,3,64
0000011_06595_d_0000010.jpg,1,1,0,11,4,0,15
0000011_07307_d_0000011.jpg,1,1,1,29,22,4,55
0000011_08299_d_0000012.jpg,0,1,1,0,8,4,12
0000054_00786_d_0000001.jpg,1,1,1,25,41,2,68
0000063_00500_d_0000001.jpg,1,1,0,258,8,0,266
0000063_02235_d_0000003.jpg,1,1,1,78,12,3,93
0000063_03139_d_0000004.jpg,1,1,1,18,22,3,43
0000063_04000_d_0000005.jpg,1,1,1,38,9,3,50
0000063_05000_d_0000006.jpg,1,1,0,32,10,0,42
0000063_06000_d_0000007.jpg,1,1,1,4,19,5,28
0000063_07000_d_0000008.jpg,1,1,1,39,13,3,55
0000063_08000_d_0000009.jpg,1,1,0,107,12,0,119
0000063_08995_d_0000010.jpg,1,1,0,82,1,0,83
0000063_10000_d_0000011.jpg,1,1,0,98,2,0,100
0000063_11000_d_0000012.jpg,1,1,0,186,2,0,188
0000063_11817_d_0000013.jpg,1,0,0,125,0,0,125
0000063_12500_d_0000014.jpg,1,1,0,164,4,0,168
0000066_01097_d_0000002.jpg,1,1,0,240,22,0,262
0000073_00377_d_0000001.jpg,1,1,1,34,22,8,64
0000073_01275_d_0000002.jpg,1,1,1,69,33,13,115
0000073_03155_d_0000004.jpg,1,1,1,60,25,14,99
0000073_04009_d_0000005.jpg,1,1,1,71,33,14,118
0000073_05010_d_0000006.jpg,1,1,1,43,28,10,81
0000073_05999_d_0000007.jpg,1,1,1,38,33,22,93
0000074_01218_d_0000002.jpg,1,1,1,53,35,18,106
0000074_02723_d_0000005.jpg,1,1,1,20,23,23,66
0000074_03738_d_0000007.jpg,1,1,1,47,20,16,83
0000074_05715_d_0000011.jpg,1,1,1,46,27,8,81
0000074_06746_d_0000013.jpg,1,1,1,37,37,5,79
0000074_07297_d_0000014.jpg,1,1,1,56,41,18,115
0000074_07850_d_0000015.jpg,1,1,1,83,43,15,141
0000074_08202_d_0000016.jpg,1,1,1,31,40,9,80
0000074_08777_d_0000017.jpg,0,1,1,0,3,17,20
0000074_09738_d_0000019.jpg,1,1,1,30,30,30,90
0000074_10218_d_0000020.jpg,1,1,1,26,40,16,82
0000074_10730_d_0000021.jpg,1,1,1,39,42,16,97
0000074_11362_d_0000022.jpg,1,1,1,51,33,19,103
0000074_11827_d_0000023.jpg,1,1,1,56,42,15,113
0000074_12322_d_0000024.jpg,1,1,1,27,34,13,74
0000074_13313_d_0000026.jpg,1,1,1,66,34,26,126
0000074_13875_d_0000027.jpg,1,1,1,68,28,21,117
0000074_14850_d_0000029.jpg,1,1,1,52,34,11,97
0000074_15298_d_0000030.jpg,1,1,1,32,19,9,60
0000074_15793_d_0000031.jpg,1,1,1,26,29,10,65
0000074_16210_d_0000032.jpg,1,1,1,57,25,7,89
0000078_00490_d_0000002.jpg,1,1,1,17,12,5,34
0000078_01314_d_0000004.jpg,1,1,1,1,1,5,7
0000078_01938_d_0000006.jpg,0,0,1,0,0,8,8
0000078_02363_d_0000007.jpg,0,1,1,0,1,3,4
0000078_02778_d_0000008.jpg,1,1,1,29,24,2,55
0000078_03171_d_0000009.jpg,1,1,1,38,26,11,75
0000078_03315_d_0000010.jpg,0,1,1,0,7,6,13
0000078_03810_d_0000011.jpg,0,1,1,0,6,10,16
0000078_04210_d_0000012.jpg,0,0,1,0,0,3,3
0000078_04546_d_0000013.jpg,0,1,1,0,5,5,10
0000078_05467_d_0000015.jpg,0,0,1,0,0,3,3
0000078_05939_d_0000016.jpg,0,0,1,0,0,1,1
0000078_06363_d_0000017.jpg,1,1,1,5,4,5,14
0000078_06506_d_0000018.jpg,1,1,1,3,1,2,6
0000078_06586_d_0000019.jpg,1,1,1,5,7,7,19
0000078_06777_d_0000020.jpg,0,0,1,0,0,1,1
0000078_07266_d_0000021.jpg,0,1,1,0,3,3,6
0000078_07819_d_0000023.jpg,0,1,1,0,3,5,8
0000083_00803_d_0000003.jpg,1,1,0,30,24,0,54
0000087_00009_d_0000001.jpg,1,1,0,62,15,0,77
0000087_00299_d_0000002.jpg,1,1,0,112,26,0,138
0000087_00700_d_0000003.jpg,1,1,0,141,15,0,156
0000087_01140_d_0000004.jpg,1,1,0,100,18,0,118
0000087_01580_d_0000005.jpg,1,1,1,63,11,1,75
0000105_01556_d_0000069.jpg,1,1,1,39,12,4,55
0000105_01748_d_0000070.jpg,1,1,1,36,10,1,47
0000105_02201_d_0000071.jpg,1,1,1,1,1,9,11
0000105_02539_d_0000072.jpg,1,1,1,24,32,8,64
0000105_02747_d_0000073.jpg,1,1,1,11,7,7,25
0000105_02931_d_0000074.jpg,1,1,1,19,10,4,33
0000118_02327_d_0000076.jpg,1,1,1,44,15,8,67
0000118_02632_d_0000077.jpg,1,1,1,44,19,4,67
0000120_00559_d_0000092.jpg,1,1,1,45,8,6,59
0000120_01392_d_0000094.jpg,1,1,1,29,12,2,43
0000120_01535_d_0000095.jpg,0,1,1,0,1,5,6
0000120_02001_d_0000096.jpg,1,1,1,81,12,2,95
0000120_02946_d_0000098.jpg,1,1,1,9,10,4,23
0000120_03922_d_0000100.jpg,1,1,1,9,20,4,33
0000120_04920_d_0000102.jpg,1,1,1,34,13,4,51
0000120_05373_d_0000103.jpg,1,1,1,47,9,5,61
0000120_06848_d_0000106.jpg,1,1,1,43,10,5,58
0000120_07578_d_0000108.jpg,1,1,1,36,9,6,51
0000127_00002_d_0000119.jpg,1,1,1,124,59,21,204
0000127_00265_d_0000120.jpg,1,1,1,99,62,23,184
0000127_01002_d_0000123.jpg,1,1,1,53,34,22,109
0000152_00100_d_0000145.jpg,1,1,1,36,7,1,44
0000152_00599_d_0000146.jpg,1,1,1,27,5,4,36
0000152_02214_d_0000150.jpg,1,1,1,36,15,4,55
0000152_03226_d_0000153.jpg,1,1,1,50,14,2,66
0000161_01584_d_0000158.jpg,1,1,1,186,13,3,202
0000164_00078_d_0000159.jpg,1,1,1,41,7,3,51
0000164_01068_d_0000162.jpg,1,1,1,23,2,1,26
0000164_01302_d_0000163.jpg,1,1,1,25,6,1,32
0000164_01840_d_0000165.jpg,1,0,0,41,0,0,41
0000183_00031_d_0000176.jpg,1,1,1,67,5,1,73
0000183_00216_d_0000177.jpg,1,1,1,39,9,1,49
0000184_00512_d_0000182.jpg,1,1,0,57,7,0,64
0000186_00901_d_0000187.jpg,1,1,0,65,5,0,70
0000186_01387_d_0000188.jpg,1,1,1,19,7,1,27
0000187_00024_d_0000189.jpg,1,1,0,55,7,0,62
0000187_00444_d_0000190.jpg,1,1,0,44,3,0,47
0000187_00666_d_0000191.jpg,1,1,0,28,1,0,29
0000189_00297_d_0000198.jpg,1,1,0,72,4,0,76
0000190_00023_d_0000201.jpg,1,1,0,36,8,0,44
0000190_00172_d_0000202.jpg,1,1,1,64,7,2,73
0000192_00522_d_0000213.jpg,1,1,0,26,4,0,30
0000207_00000_d_0000001.jpg,1,1,0,41,3,0,44
0000207_00100_d_0000002.jpg,1,1,0,40,3,0,43
0000207_00300_d_0000004.jpg,1,1,0,30,4,0,34
0000207_00500_d_0000006.jpg,1,1,0,58,1,0,59
0000207_00600_d_0000007.jpg,1,1,0,47,3,0,50
0000207_00700_d_0000008.jpg,1,1,0,72,7,0,79
0000250_02350_d_0000001.jpg,1,1,0,23,4,0,27
0000259_00000_d_0000001.jpg,1,1,1,25,10,7,42
0000259_00500_d_0000002.jpg,1,1,1,16,15,4,35
0000259_01000_d_0000003.jpg,1,1,1,23,8,5,36
0000259_02000_d_0000005.jpg,1,1,1,29,16,6,51
0000259_02500_d_0000006.jpg,1,1,1,20,10,9,39
0000259_03000_d_0000007.jpg,1,1,1,23,12,6,41
0000259_03500_d_0000008.jpg,1,1,1,11,7,6,24
0000265_00500_d_0000002.jpg,1,1,1,49,13,6,68
0000265_01500_d_0000004.jpg,1,1,1,75,16,13,104
0000265_02000_d_0000005.jpg,1,1,1,59,15,6,80
0000265_03000_d_0000007.jpg,1,1,1,129,25,9,163
0000265_03500_d_0000008.jpg,1,1,1,124,24,6,154
0000265_04000_d_0000009.jpg,1,1,1,131,22,7,160
0000265_04500_d_0000010.jpg,1,1,1,58,24,4,86
0000265_05000_d_0000011.jpg,1,1,1,76,14,6,96
0000272_00000_d_0000001.jpg,1,1,1,18,7,4,29
0000272_01000_d_0000003.jpg,0,1,1,0,18,24,42
0000272_01500_d_0000004.jpg,1,1,1,80,33,21,134
0000272_02000_d_0000005.jpg,1,1,1,54,23,16,93
0000272_02500_d_0000006.jpg,1,1,1,43,38,12,93
0000272_03500_d_0000008.jpg,1,1,1,13,15,8,36
0000272_04000_d_0000009.jpg,1,1,1,19,10,8,37
0000272_04500_d_0000010.jpg,1,1,1,28,9,9,46
0000272_05000_d_0000011.jpg,1,1,1,28,8,5,41
0000272_05500_d_0000012.jpg,1,1,1,26,9,6,41
0000278_02251_d_0000001.jpg,1,1,1,10,24,23,57
0000278_02351_d_0000002.jpg,1,1,1,15,24,27,66
0000278_02451_d_0000003.jpg,1,1,1,15,21,28,64
0000278_02951_d_0000008.jpg,1,1,1,54,28,21,103
0000282_00000_d_0000001.jpg,1,1,1,2,1,2,5
0000282_04000_d_0000009.jpg,1,0,1,5,0,2,7
0000294_00000_d_0000053.jpg,1,1,1,85,13,4,102
0000298_00000_d_0000070.jpg,1,1,1,93,20,8,121
0000299_00000_d_0000088.jpg,1,1,1,43,24,7,74
0000299_01200_d_0000096.jpg,1,1,1,39,14,2,55
0000299_01650_d_0000099.jpg,1,1,1,43,7,4,54
0000299_01800_d_0000100.jpg,1,1,1,37,12,6,55
0000299_02500_d_0000102.jpg,1,1,1,28,8,2,38
0000299_03500_d_0000104.jpg,1,1,1,38,10,6,54
0000299_04000_d_0000105.jpg,1,1,1,14,4,6,24
0000299_04500_d_0000106.jpg,1,1,1,15,5,4,24
0000299_05000_d_0000107.jpg,1,1,1,103,23,2,128
0000299_05500_d_0000108.jpg,1,1,1,67,31,11,109
0000302_03866_d_0000117.jpg,1,1,0,16,40,0,56
0000310_02500_d_0000123.jpg,1,1,1,37,19,5,61
0000310_03000_d_0000124.jpg,1,1,1,2,23,7,32
0000310_03500_d_0000125.jpg,0,1,1,0,3,6,9
0000310_04000_d_0000126.jpg,1,1,1,41,30,10,81
0000310_05822_d_0000130.jpg,1,1,1,18,22,3,43
0000314_00000_d_0000142.jpg,1,1,1,13,15,7,35
0000314_00500_d_0000143.jpg,1,1,1,20,8,6,34
0000314_01000_d_0000144.jpg,1,1,1,8,3,7,18
0000314_01500_d_0000145.jpg,1,1,1,5,7,9,21
0000314_01908_d_0000146.jpg,1,1,1,13,9,12,34
0000320_00150_d_0000003.jpg,1,1,1,32,20,8,60
0000320_00300_d_0000004.jpg,1,1,1,18,21,8,47
0000320_00450_d_0000005.jpg,1,1,1,4,14,9,27
0000320_00600_d_0000006.jpg,1,1,1,7,14,13,34
0000320_00750_d_0000007.jpg,1,1,1,12,26,6,44
0000320_00900_d_0000008.jpg,1,1,1,4,26,6,36
0000320_01050_d_0000009.jpg,1,1,1,19,30,10,59
0000320_01200_d_0000010.jpg,1,1,1,30,32,10,72
0000320_03950_d_0000011.jpg,1,1,1,106,79,8,193
0000320_04050_d_0000012.jpg,1,1,1,59,44,8,111
0000320_04200_d_0000013.jpg,1,1,1,9,17,9,35
0000320_04375_d_0000014.jpg,1,1,1,29,15,5,49
0000321_00000_d_0000015.jpg,1,1,1,104,35,8,147
0000321_00268_d_0000016.jpg,1,1,1,14,32,9,55
0000328_00150_d_0000019.jpg,1,1,1,37,7,4,48
0000328_00300_d_0000020.jpg,1,1,1,51,9,3,63
0000328_00600_d_0000022.jpg,1,1,1,44,12,7,63
0000328_01050_d_0000025.jpg,1,1,1,38,14,4,56
0000337_00500_d_0000037.jpg,1,1,1,17,5,22,44
