image_name,annotation_line,category,visdrone_category_id,bbox_left,bbox_top,bbox_width,bbox_height,scale_s,scale,truncation,occlusion
0000006_00159_d_0000001.jpg,1,car,4,685.0,463.0,110.0,65.0,84.557673,regular,0,0
0000006_00159_d_0000001.jpg,2,car,4,578.0,328.0,36.0,38.0,36.986484,small,0,0
0000006_00159_d_0000001.jpg,3,car,4,617.0,327.0,38.0,44.0,40.890097,small,0,0
0000006_00159_d_0000001.jpg,4,car,4,659.0,350.0,90.0,40.0,60.000000,small,0,0
0000006_00159_d_0000001.jpg,5,car,4,761.0,346.0,40.0,44.0,41.952354,small,0,0
0000006_00159_d_0000001.jpg,6,car,4,805.0,350.0,38.0,41.0,39.471509,small,0,0
0000006_00159_d_0000001.jpg,7,car,4,849.0,346.0,45.0,47.0,45.989129,small,0,0
0000006_00159_d_0000001.jpg,8,car,4,895.0,349.0,43.0,44.0,43.497126,small,0,0
0000006_00159_d_0000001.jpg,9,car,4,886.0,297.0,40.0,43.0,41.472883,small,0,0
0000006_00159_d_0000001.jpg,10,car,4,810.0,305.0,70.0,40.0,52.915026,small,0,0
0000006_00159_d_0000001.jpg,11,car,4,805.0,256.0,46.0,28.0,35.888717,small,0,0
0000006_00159_d_0000001.jpg,12,car,4,783.0,234.0,70.0,27.0,43.474130,small,0,0
0000006_00159_d_0000001.jpg,13,car,4,435.0,535.0,134.0,57.0,87.395652,regular,0,0
0000006_00159_d_0000001.jpg,14,car,4,488.0,507.0,118.0,52.0,78.332624,regular,0,1
0000006_00159_d_0000001.jpg,15,car,4,495.0,473.0,120.0,46.0,74.296702,regular,0,1
0000006_00159_d_0000001.jpg,16,car,4,507.0,447.0,107.0,38.0,63.765194,small,0,1
0000006_00159_d_0000001.jpg,17,car,4,473.0,422.0,104.0,46.0,69.166466,regular,0,1
0000006_00159_d_0000001.jpg,18,car,4,913.0,179.0,33.0,31.0,31.984371,tiny,0,0
0000006_00159_d_0000001.jpg,19,car,4,995.0,126.0,39.0,23.0,29.949958,tiny,0,0
0000006_00159_d_0000001.jpg,20,car,4,922.0,106.0,20.0,21.0,20.493902,tiny,0,0
0000006_00159_d_0000001.jpg,21,car,4,862.0,154.0,10.0,17.0,13.038405,tiny,0,0
