Model,Category,Prompt,Precision,Recall,F1,AP50
Original SAM 3,person,person,0.744316282179873,0.3319293275682123,0.45911528150134046,0.3905880103996172
Original SAM 3,car,car,0.735564262316141,0.8201969561324978,0.7755786194402587,0.7888533456924043
Original SAM 3,truck,truck,0.5776865160848734,0.6418250950570342,0.6080691642651298,0.6173188006248469
Original SAM 3,bus,bus,0.748730964467005,0.7045377004435346,0.7259623835471963,0.7262122286900433
Original SAM 3,motorcycle,motorcycle,0.6349740932642487,0.4208447802197802,0.5061957868649317,0.452064428064653
Original SAM 3,Macro average,—,0.6882544236624282,0.5838667718842119,0.6149842471237714,0.5950073626943129
Adapted SAM 3 with replay,person,person,0.7110957110957111,0.34422990905024603,0.4638955167650383,0.39221212064410294
Adapted SAM 3 with replay,car,car,0.7672964387226217,0.8217009847806624,0.7935673525851634,0.8053957856723643
Adapted SAM 3 with replay,truck,truck,0.46429498831472343,0.6798479087452471,0.5517667026693411,0.6000127557745223
Adapted SAM 3 with replay,bus,bus,0.5841184387617766,0.7403616513135448,0.6530243755642493,0.7015254381398597
Adapted SAM 3 with replay,motorcycle,motorcycle,0.586997685672207,0.4790521978021978,0.527559799565094,0.46539658202420947
Adapted SAM 3 with replay,Macro average,—,0.622760652513408,0.6130385303383796,0.5979627494297772,0.5929085364510117
