Model,Category,Synonym prompt,Precision,Recall,F1,AP50,Retention
Original SAM 3,person,human,0.9007849293563579,0.10694050991501416,0.19118382034451736,0.32390210523640267,0.4164178977430948
Original SAM 3,car,automobile,0.7193518229978186,0.8266427931960609,0.7692743480796468,0.786974767872275,0.9918715250748379
Original SAM 3,truck,lorry,0.6327345309381237,0.6026615969581749,0.617332035053554,0.6131766028772371,1.01523325196011
Original SAM 3,motorcycle,motorbike,0.6246753246753247,0.41294642857142855,0.49720901385156085,0.4366245010192503,0.9822464484166701
Original SAM 3,Macro average,—,0.7193866519919062,0.48729783216016964,0.5187498043323198,0.5401694942512912,0.8514422807986781
Adapted SAM 3 with replay,person,human,0.7696875,0.09180706724317877,0.16404688956973493,0.28886051011725894,0.35362896092143997
Adapted SAM 3 with replay,car,automobile,0.7632167785459039,0.8183706356311549,0.7898320315200111,0.8010947134307752,0.9952930005840287
Adapted SAM 3 with replay,truck,lorry,0.4929138321995465,0.6612167300380228,0.5647937642091589,0.6109096498820796,1.0236097275837694
Adapted SAM 3 with replay,motorcycle,motorbike,0.5839493136219641,0.47475961538461536,0.5237238374846103,0.46000282721119634,0.9927288582571189
Adapted SAM 3 with replay,Macro average,—,0.6524418560918536,0.511538512074243,0.5105991306958788,0.5402169251603275,0.8413151368365892
